country,league,match_season,team,game_played,points,won,draw,lost,goals_scored,goals_conceded,goals_difference
Belgium,Belgium Jupiler League,2015/2016,Club Brugge KV,30,64,21,1,8,64,30,34
Belgium,Belgium Jupiler League,2015/2016,KAA Gent,30,60,17,9,4,56,29,27
Belgium,Belgium Jupiler League,2015/2016,RSC Anderlecht,30,55,15,10,5,51,29,22
Belgium,Belgium Jupiler League,2015/2016,KV Oostende,30,49,14,7,9,55,44,11
Belgium,Belgium Jupiler League,2015/2016,KRC Genk,30,48,14,6,10,42,30,12
Belgium,Belgium Jupiler League,2015/2016,SV Zulte-Waregem,30,43,12,7,11,51,50,1
Belgium,Belgium Jupiler League,2015/2016,Standard de Liège,30,41,12,5,13,41,51,-10
Belgium,Belgium Jupiler League,2015/2016,Sporting Charleroi,30,39,10,9,11,36,39,-3
Belgium,Belgium Jupiler League,2015/2016,KV Kortrijk,30,39,10,9,11,31,35,-4
Belgium,Belgium Jupiler League,2015/2016,KV Mechelen,30,37,10,7,13,48,50,-2
Belgium,Belgium Jupiler League,2015/2016,Sporting Lokeren,30,34,8,10,12,35,40,-5
Belgium,Belgium Jupiler League,2015/2016,Waasland-Beveren,30,33,9,6,15,40,57,-17
Belgium,Belgium Jupiler League,2015/2016,Royal Excel Mouscron,30,30,7,9,14,39,51,-12
Belgium,Belgium Jupiler League,2015/2016,Sint-Truidense VV,30,30,8,6,16,28,47,-19
Belgium,Belgium Jupiler League,2015/2016,KVC Westerlo,30,30,7,9,14,35,59,-24
Belgium,Belgium Jupiler League,2015/2016,Oud-Heverlee Leuven,30,29,7,8,15,42,53,-11
Belgium,Belgium Jupiler League,2014/2015,Club Brugge KV,30,61,17,10,3,69,28,41
Belgium,Belgium Jupiler League,2014/2015,KAA Gent,30,57,16,9,5,52,29,23
Belgium,Belgium Jupiler League,2014/2015,RSC Anderlecht,30,57,16,9,5,51,30,21
Belgium,Belgium Jupiler League,2014/2015,Standard de Liège,30,53,16,5,9,49,39,10
Belgium,Belgium Jupiler League,2014/2015,KV Kortrijk,30,51,16,3,11,54,35,19
Belgium,Belgium Jupiler League,2014/2015,Sporting Charleroi,30,49,14,7,9,44,31,13
Belgium,Belgium Jupiler League,2014/2015,KRC Genk,30,49,13,10,7,38,28,10
Belgium,Belgium Jupiler League,2014/2015,Sporting Lokeren,30,42,10,12,8,38,32,6
Belgium,Belgium Jupiler League,2014/2015,KV Mechelen,30,41,10,11,9,37,39,-2
Belgium,Belgium Jupiler League,2014/2015,KV Oostende,30,38,11,5,14,40,52,-12
Belgium,Belgium Jupiler League,2014/2015,KVC Westerlo,30,33,8,9,13,42,63,-21
Belgium,Belgium Jupiler League,2014/2015,SV Zulte-Waregem,30,31,8,7,15,41,54,-13
Belgium,Belgium Jupiler League,2014/2015,Royal Excel Mouscron,30,26,7,5,18,32,51,-19
Belgium,Belgium Jupiler League,2014/2015,Waasland-Beveren,30,26,7,5,18,30,49,-19
Belgium,Belgium Jupiler League,2014/2015,KSV Cercle Brugge,30,24,6,6,18,21,45,-24
Belgium,Belgium Jupiler League,2014/2015,Lierse SK,30,22,5,7,18,30,63,-33
Belgium,Belgium Jupiler League,2013/2014,KV Oostende,6,14,4,2,0,7,1,6
Belgium,Belgium Jupiler League,2013/2014,KAA Gent,6,10,3,1,2,11,6,5
Belgium,Belgium Jupiler League,2013/2014,Lierse SK,6,6,2,0,4,5,12,-7
Belgium,Belgium Jupiler League,2013/2014,Waasland-Beveren,6,4,1,1,4,7,11,-4
Belgium,Belgium Jupiler League,2012/2013,RSC Anderlecht,30,67,20,7,3,69,27,42
Belgium,Belgium Jupiler League,2012/2013,SV Zulte-Waregem,30,63,19,6,5,49,29,20
Belgium,Belgium Jupiler League,2012/2013,KRC Genk,30,55,15,10,5,63,40,23
Belgium,Belgium Jupiler League,2012/2013,Club Brugge KV,30,54,15,9,6,66,43,23
Belgium,Belgium Jupiler League,2012/2013,Sporting Lokeren,30,51,14,9,7,53,38,15
Belgium,Belgium Jupiler League,2012/2013,Standard de Liège,30,50,15,5,10,54,33,21
Belgium,Belgium Jupiler League,2012/2013,RAEC Mons,30,44,13,5,12,48,53,-5
Belgium,Belgium Jupiler League,2012/2013,KV Mechelen,30,41,12,5,13,44,42,2
Belgium,Belgium Jupiler League,2012/2013,KV Kortrijk,30,39,11,6,13,31,30,1
Belgium,Belgium Jupiler League,2012/2013,Oud-Heverlee Leuven,30,36,8,12,10,46,51,-5
Belgium,Belgium Jupiler League,2012/2013,KAA Gent,30,34,8,10,12,33,40,-7
Belgium,Belgium Jupiler League,2012/2013,Sporting Charleroi,30,34,10,4,16,30,49,-19
Belgium,Belgium Jupiler League,2012/2013,Waasland-Beveren,30,30,7,9,14,28,49,-21
Belgium,Belgium Jupiler League,2012/2013,Lierse SK,30,26,5,11,14,28,53,-25
Belgium,Belgium Jupiler League,2012/2013,Beerschot AC,30,23,6,5,19,31,61,-30
Belgium,Belgium Jupiler League,2012/2013,KSV Cercle Brugge,30,14,3,5,22,30,65,-35
Belgium,Belgium Jupiler League,2011/2012,RSC Anderlecht,30,67,20,7,3,61,26,35
Belgium,Belgium Jupiler League,2011/2012,Club Brugge KV,30,61,19,4,7,51,32,19
Belgium,Belgium Jupiler League,2011/2012,KAA Gent,30,56,17,5,8,63,35,28
Belgium,Belgium Jupiler League,2011/2012,Standard de Liège,30,51,14,9,7,43,33,10
